model_short,condition,prompt_id,byte_equal,baseline_sha256,mtp_sha256
26b,n8,26b-256-2,True,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a
26b,n8,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,ef33ebdadae438222a1917db59f6c0e128edb4bc4c224957b8d245c4b2d7defe
26b,n8,26b-4000-0,False,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,bf2eaeb33edb0f18940073b5fc3ca7b49c32cb27e6df73d51de823bf1d3bedea
26b,n8,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,c384360b8bf776ba85cf96023c9623df034419d5a4ab262d9a4ef4f41474cf87
26b,n8,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,29790cc41db5642a6346dbd448b7f8ffa296a163fa945d08c834c3cafd4dcb89
26b,n8,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,89740b0865942acf8b3a606886720df78432157a5e58dc13fe688322c68d1fa4
26b,n8,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,8c8341248e565aa16af428a1fe77a10f9bf6d97f26e8a9d813d0778696223932
26b,n12,26b-1024-2,False,38054ec5c906bbeebffd3badc5cef39e3c22c9a2c692dbd9a57cad004973667e,89740b0865942acf8b3a606886720df78432157a5e58dc13fe688322c68d1fa4
26b,n12,26b-256-0,False,6f9c885a7c1d697d29d6b0fa743050a2072d79df81cce16096209f8dff3d9f30,8c8341248e565aa16af428a1fe77a10f9bf6d97f26e8a9d813d0778696223932
26b,n12,26b-4000-2,False,f0115122363697aa6a4989b1af93d122a4d3513d4be8a6e6908dfe6b411e2ff4,897044f68e759d6d3ef310a9caa1692e99065c23a21bc22ef83cff134240f1d5
26b,n12,26b-4000-0,False,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,f627b1c65bf2c1fff7dbfc9c74c36d21256f0882c8fab70c10f9b43b32d2326c
26b,n12,26b-1024-1,False,c01d15bb05609f292827428e8c5b0b1996b24b18a9909d0583ac6f1fe6a2744a,21790520cf7815af52d75d6b1c501707580db6254d5b719c189e8750c742c529
26b,n12,26b-1024-0,False,99ee030e9dbf2afdeaf65d6b0fc5bc67fda9d8f16d5097b46aa0f1a66c07e806,29b852f5bc11417f625c21676c038d27faee6397f8bd034949db27b642ea3316
26b,n12,26b-256-2,True,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a,88c9a2c53167aa098d958238e9600278cd12be9a033158e6c598ddec58e25a0a
26b,n12,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,c384360b8bf776ba85cf96023c9623df034419d5a4ab262d9a4ef4f41474cf87
26b,n12,26b-256-1,False,75afe836f84af28a35deaf752b1e716da4effb51bbca6ce901e01e49b623edd6,ef33ebdadae438222a1917db59f6c0e128edb4bc4c224957b8d245c4b2d7defe
26b,n16,26b-4000-0,False,cc35c944a97657ba3cffe7641da517c6545a9e6465191ce78bdb434acde00917,2a70d12c596bac7e2cd5a8004cb8a48ea3cbdecb918edb66258ef438381b3480
26b,n16,26b-4000-1,False,e4c16ef206937338a1d934bcab3033a60388b0589c5ae76d7f2dfffe2291bfd5,580d713d8768ca5ebdf178d720b0cccdd0d264a52a835bfad090c5f85e989817
