model_short,condition,item_id,family,correct,finish_reason,wall_ms,output_tokens,output_sha256
12b,off_a,gsm8k-026,gsm8k,True,stop,3657.247366,320,8a3cb8dc4862b14a37594060c58d58f2434d017c5b4806bf91306822b79ee214
12b,off_a,ifeval-027,ifeval,True,stop,6827.11845,609,a2c41f58fefec7fe69a879a8f4b7b29b445b7b13347b1b9939ea2031ab969ac4
12b,off_a,mbpp-032,mbpp,True,stop,1147.268025,83,fcfb86832395906e0a7afa199b5dde9c1532622e57ce6e124add21a7deb91775
12b,off_a,gsm8k-051,gsm8k,True,stop,2403.107696,207,46fe71912cee8adcfcb486ec23d0c17811c19ba7b7ab3a4b3f991f79b036641b
12b,off_a,mmlu_pro-008,mmlu_pro,False,stop,238.950009,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,mbpp-026,mbpp,True,stop,496.957699,32,1eff8d615c97e43bbb5c5e6e0c1b9cb9d32ad7b206ef6c1509b6e2ff26e466b0
12b,off_a,mbpp-033,mbpp,False,length,5760.241384,512,2f87c1ba282dbaf3ae9be88861a9c0035d116d0fe7807fc8a3a77b531e84fe53
12b,off_a,mbpp-014,mbpp,False,stop,1610.288807,125,8a5d69912c8ae98d73578125e9d2943406de5fdc9ed1bdef133dc156a9f49f77
12b,off_a,mbpp-024,mbpp,True,stop,1432.698593,112,b42cb8d8b8c4c6c776acef83a162602787f6f3e55b088001a714efc2775995e8
12b,off_a,mmlu_pro-019,mmlu_pro,False,stop,248.58458,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
12b,off_a,mmlu_pro-032,mmlu_pro,True,stop,228.617502,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,mmlu_pro-034,mmlu_pro,False,stop,214.098244,5,383107968fb4dbad920fba520520a41a0449a7214bbf4a8288643187983af7c9
12b,off_a,mbpp-019,mbpp,True,stop,860.924944,67,ac46b4ce52d9f8bd8d5a21d83cf619f023107114565017d7853ad717338453d9
12b,off_a,gsm8k-025,gsm8k,True,stop,2279.397083,195,4fb84d6a3474915a8e7f0a718f6767645600c58aaa02fad4596c100f2a87a2c2
12b,off_a,mbpp-039,mbpp,True,stop,2629.719836,225,8124d5a0252c56a10b9350a9bfd7456ac0eb7c5386b09b9cc09c4201d4192c61
12b,off_a,ifeval-039,ifeval,True,stop,734.803922,54,086eb168d6329cb1173a95a41f5b0bac87ca0fb50e2ef149935daa5f4a7569a4
12b,off_a,gsm8k-018,gsm8k,True,stop,1527.630189,134,96cc5d3773dd9eb49db937641cacc0deee91bb52a8c7114dca48a99d75a4d673
12b,off_a,ifeval-026,ifeval,True,stop,1949.473602,172,5f8beab45650bf04f79238ef42ec145359c02f6ad5c35217e6432454ba9a9e60
12b,off_a,gsm8k-009,gsm8k,False,length,5740.065545,512,9a9b074e4f998080e1b3c37d5c0244bce8323495f4761e4ecb65278b1a1dcd61
12b,off_a,mmlu_pro-020,mmlu_pro,False,stop,305.264164,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
12b,off_a,mmlu_pro-021,mmlu_pro,False,stop,233.848372,5,e7e621df907fc16c9b06df06caf0acd9c4800660de102246b77df7a00426983a
12b,off_a,mmlu_pro-013,mmlu_pro,True,stop,211.664496,5,0b881d9aefb8729ec3519b9fc950d22641f552cae9e7b7c3d836e5049ae2a6eb
12b,off_a,mmlu_pro-042,mmlu_pro,False,stop,213.567845,5,e7e621df907fc16c9b06df06caf0acd9c4800660de102246b77df7a00426983a
12b,off_a,mmlu_pro-057,mmlu_pro,True,stop,292.768822,5,f246277cc5248bc3d0e34f18c1e51dbf384b76ba4bc05357a5783df373eefa83
12b,off_a,mbpp-035,mbpp,True,stop,483.216291,26,70317dac83bec3cbdab62623c76ea12c1ae182e6aa28d37972c34b39a12f5b91
12b,off_a,mmlu_pro-039,mmlu_pro,True,stop,189.848112,5,0b881d9aefb8729ec3519b9fc950d22641f552cae9e7b7c3d836e5049ae2a6eb
12b,off_a,gsm8k-040,gsm8k,True,stop,2661.430911,236,6c515d087b9388939b23d29fed0837c1861e8de60ce2489d1c6100f3472bb48f
12b,off_a,ifeval-014,ifeval,True,stop,6231.365032,557,251953365d05e1582bdc4719aab7891aef1745b521d302b8855fc8e29dfea502
12b,off_a,mmlu_pro-058,mmlu_pro,False,stop,287.496841,5,79c14ef69b8803008a7947090ee9d8b4065c49bc1b60dd0d647e9b27f2aac0bd
12b,off_a,mmlu_pro-011,mmlu_pro,False,stop,219.064481,5,7f12398eab61eabfade2a1506d641f27c6035a371dd16cf1e5bbce8ac82b36d3
12b,off_a,mmlu_pro-056,mmlu_pro,True,stop,202.625926,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,gsm8k-029,gsm8k,True,stop,1124.679886,92,07f0fae1d4034a4190791cc4b072fd1b96bcf5eda8ada1033de5327728a67f7c
12b,off_a,ifeval-003,ifeval,True,stop,3307.831773,296,6494d0d8ed1b0e7e4fdf4634e0a292e4f3017dfcca8dc3805362fcd955090ae8
12b,off_a,mmlu_pro-005,mmlu_pro,False,stop,260.605666,5,75a8382d1f0eeb8ade3ff32fd5d253d6d61f5569a8c8c7a7f2fa4e891b73e012
12b,off_a,gsm8k-053,gsm8k,True,stop,2102.218539,177,3d67e2bc89b04a79289eec0d32ce607db6a273d080c15b29e29e4592e8b3187e
12b,off_a,mmlu_pro-007,mmlu_pro,True,stop,267.064543,5,e192490fee64ad593d0794e211855b9bb10e590dbd903c73641084fcd6da0256
12b,off_a,mbpp-006,mbpp,True,stop,2560.880906,217,35f9ffb4dea66ec35bd0ff44f137b42fb27f632adeb149532777c6056a64070c
12b,off_a,mmlu_pro-028,mmlu_pro,True,stop,212.197243,5,2b811e58a6e1fde6992eb1ffe81c5357d5db8e2e33099f28d9e9b0d6f756ed0b
